seq_index;sequence_stop_codons
18;[(5, 8, 'TAA'), (38, 41, 'TGA'), (65, 68, 'TAA'), (89, 92, 'TGA'), (151, 154, 'TAA'), (161, 164, 'TGA'), (170, 173, 'TGA'), (184, 187, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (284, 287, 'TGA'), (316, 319, 'TAA')]
19;[(11, 14, 'TAA'), (31, 34, 'TGA'), (61, 64, 'TGA'), (68, 71, 'TGA'), (77, 80, 'TAA'), (89, 92, 'TGA'), (122, 125, 'TGA'), (139, 142, 'TGA'), (148, 151, 'TAA'), (158, 161, 'TAA'), (164, 167, 'TAA'), (170, 173, 'TGA'), (176, 179, 'TGA'), (196, 199, 'TAA'), (284, 287, 'TAA'), (290, 293, 'TGA'), (319, 322, 'TGA'), (325, 328, 'TAA')]
20;[(11, 14, 'TAA'), (31, 34, 'TGA'), (61, 64, 'TGA'), (68, 71, 'TGA'), (77, 80, 'TAA'), (89, 92, 'TGA'), (122, 125, 'TGA'), (139, 142, 'TGA'), (148, 151, 'TAA'), (158, 161, 'TAA'), (164, 167, 'TAA'), (170, 173, 'TGA'), (196, 199, 'TAA'), (279, 282, 'TAG'), (323, 326, 'TAA')]
21;[(11, 14, 'TAA'), (31, 34, 'TGA'), (61, 64, 'TGA'), (68, 71, 'TGA'), (77, 80, 'TAA'), (89, 92, 'TGA'), (122, 125, 'TGA'), (139, 142, 'TGA'), (148, 151, 'TAA'), (158, 161, 'TAA'), (164, 167, 'TAA'), (170, 173, 'TGA'), (196, 199, 'TAA'), (297, 300, 'TGA'), (329, 332, 'TAA')]
22;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (295, 298, 'TGA'), (327, 330, 'TAA')]
23;[(10, 13, 'TGA'), (31, 34, 'TGA'), (77, 80, 'TGA'), (80, 83, 'TAG'), (107, 110, 'TAG'), (185, 188, 'TAA'), (200, 203, 'TAA'), (215, 218, 'TAG'), (248, 251, 'TGA'), (274, 277, 'TGA'), (288, 291, 'TAA'), (326, 329, 'TAA'), (332, 335, 'TAA')]
24;[(10, 13, 'TGA'), (31, 34, 'TGA'), (77, 80, 'TGA'), (80, 83, 'TAG'), (107, 110, 'TAG'), (185, 188, 'TAA'), (200, 203, 'TAA'), (215, 218, 'TAG'), (248, 251, 'TGA'), (296, 299, 'TGA'), (320, 323, 'TGA')]
25;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA'), (278, 281, 'TAA'), (287, 290, 'TAG'), (304, 307, 'TAA'), (334, 337, 'TAA')]
26;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA'), (329, 332, 'TGA')]
27;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (279, 282, 'TGA'), (297, 300, 'TAA'), (309, 312, 'TGA'), (317, 320, 'TAA')]
28;[(10, 13, 'TGA'), (31, 34, 'TGA'), (55, 58, 'TGA'), (61, 64, 'TAA'), (102, 105, 'TGA'), (142, 145, 'TGA'), (158, 161, 'TGA'), (161, 164, 'TGA'), (185, 188, 'TGA'), (200, 203, 'TAA'), (274, 277, 'TGA'), (279, 282, 'TAA'), (289, 292, 'TAA'), (327, 330, 'TAA'), (333, 336, 'TAA')]
29;[(10, 13, 'TAA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (133, 136, 'TGA'), (161, 164, 'TGA'), (196, 199, 'TGA'), (280, 283, 'TGA'), (290, 293, 'TGA'), (343, 346, 'TAA')]
30;[(11, 14, 'TGA'), (23, 26, 'TGA'), (28, 31, 'TGA'), (58, 61, 'TAA'), (113, 116, 'TGA'), (191, 194, 'TAG'), (200, 203, 'TGA'), (203, 206, 'TAG'), (238, 241, 'TGA'), (322, 325, 'TGA')]
31;[(11, 14, 'TAA'), (31, 34, 'TGA'), (61, 64, 'TGA'), (68, 71, 'TGA'), (77, 80, 'TAA'), (89, 92, 'TGA'), (122, 125, 'TGA'), (139, 142, 'TGA'), (148, 151, 'TAA'), (158, 161, 'TAA'), (164, 167, 'TAA'), (170, 173, 'TGA'), (196, 199, 'TAA')]
32;[(3, 6, 'TAG'), (31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA')]
33;[(5, 8, 'TAA'), (35, 38, 'TAA'), (65, 68, 'TAA'), (89, 92, 'TGA'), (139, 142, 'TGA'), (163, 166, 'TGA'), (194, 197, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (269, 272, 'TAG'), (308, 311, 'TGA')]
34;[(31, 34, 'TGA'), (79, 82, 'TGA'), (97, 100, 'TAA'), (107, 110, 'TAA'), (139, 142, 'TGA'), (148, 151, 'TGA'), (158, 161, 'TGA'), (282, 285, 'TAG'), (292, 295, 'TGA'), (324, 327, 'TAA')]
35;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TGA'), (331, 334, 'TGA'), (340, 343, 'TAG')]
36;[(10, 13, 'TGA'), (61, 64, 'TGA'), (86, 89, 'TAA'), (136, 139, 'TGA'), (139, 142, 'TAG'), (149, 152, 'TAA'), (158, 161, 'TGA'), (163, 166, 'TGA'), (181, 184, 'TGA'), (199, 202, 'TAA'), (220, 223, 'TGA'), (242, 245, 'TAG'), (245, 248, 'TGA'), (250, 253, 'TAG'), (280, 283, 'TAG'), (287, 290, 'TAA'), (319, 322, 'TGA')]
37;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA'), (278, 281, 'TAA'), (308, 311, 'TAA'), (335, 338, 'TAG'), (339, 342, 'TAA')]
38;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TGA'), (292, 295, 'TAA'), (324, 327, 'TGA')]
39;[(10, 13, 'TGA'), (61, 64, 'TGA'), (86, 89, 'TAA'), (136, 139, 'TGA'), (139, 142, 'TAG'), (149, 152, 'TAA'), (158, 161, 'TGA'), (163, 166, 'TGA'), (181, 184, 'TGA'), (199, 202, 'TAA'), (220, 223, 'TGA'), (242, 245, 'TAG'), (245, 248, 'TGA'), (250, 253, 'TAG'), (295, 298, 'TAG'), (309, 312, 'TGA'), (333, 336, 'TGA')]
40;[(10, 13, 'TAG'), (31, 34, 'TGA'), (47, 50, 'TAA'), (61, 64, 'TGA'), (152, 155, 'TGA'), (158, 161, 'TGA'), (184, 187, 'TGA'), (197, 200, 'TGA'), (209, 212, 'TAA'), (285, 288, 'TAG'), (295, 298, 'TAA'), (339, 342, 'TGA')]
41;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (245, 248, 'TGA'), (280, 283, 'TAG'), (310, 313, 'TGA')]
42;[(31, 34, 'TAA'), (139, 142, 'TGA'), (145, 148, 'TAG'), (163, 166, 'TGA'), (172, 175, 'TGA'), (181, 184, 'TAA'), (197, 200, 'TGA'), (245, 248, 'TGA'), (277, 280, 'TAA'), (297, 300, 'TAA'), (329, 332, 'TGA')]
43;[(55, 58, 'TAA'), (74, 77, 'TGA'), (79, 82, 'TGA'), (83, 86, 'TAA'), (145, 148, 'TAA'), (161, 164, 'TGA'), (181, 184, 'TAA'), (185, 188, 'TAG'), (193, 196, 'TAG'), (197, 200, 'TAA'), (220, 223, 'TGA'), (226, 229, 'TAA'), (277, 280, 'TAG'), (293, 296, 'TAG'), (298, 301, 'TGA'), (328, 331, 'TGA')]
44;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TGA')]
45;[(10, 13, 'TGA'), (41, 44, 'TAA'), (61, 64, 'TGA'), (92, 95, 'TGA'), (142, 145, 'TGA'), (155, 158, 'TAG'), (182, 185, 'TGA'), (188, 191, 'TAA'), (214, 217, 'TGA'), (265, 268, 'TAA')]
46;[(5, 8, 'TAA'), (38, 41, 'TGA'), (65, 68, 'TAA'), (89, 92, 'TGA'), (151, 154, 'TAA'), (161, 164, 'TGA'), (170, 173, 'TGA'), (184, 187, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (319, 322, 'TGA')]
47;[(10, 13, 'TAA'), (85, 88, 'TAA'), (104, 107, 'TAA'), (136, 139, 'TGA'), (145, 148, 'TAG'), (148, 151, 'TGA'), (163, 166, 'TGA'), (181, 184, 'TGA'), (250, 253, 'TAG'), (275, 278, 'TGA'), (278, 281, 'TAA'), (296, 299, 'TGA'), (328, 331, 'TAA')]
48;[(11, 14, 'TGA'), (23, 26, 'TGA'), (28, 31, 'TGA'), (191, 194, 'TAG'), (200, 203, 'TAA'), (223, 226, 'TGA'), (238, 241, 'TGA'), (268, 271, 'TGA'), (321, 324, 'TGA')]
49;[(10, 13, 'TGA'), (31, 34, 'TGA'), (55, 58, 'TGA'), (61, 64, 'TAA'), (142, 145, 'TGA'), (158, 161, 'TGA'), (161, 164, 'TGA'), (200, 203, 'TAA'), (274, 277, 'TGA'), (278, 281, 'TGA'), (323, 326, 'TGA')]
50;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (272, 275, 'TGA'), (325, 328, 'TAA')]
51;[(26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TGA'), (286, 289, 'TAA'), (304, 307, 'TAA'), (334, 337, 'TAA')]
52;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (295, 298, 'TGA'), (327, 330, 'TAA')]
53;[(5, 8, 'TAA'), (38, 41, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (272, 275, 'TGA'), (294, 297, 'TGA'), (324, 327, 'TGA')]
54;[(10, 13, 'TGA'), (20, 23, 'TAA'), (31, 34, 'TAA'), (41, 44, 'TGA'), (78, 81, 'TAG'), (92, 95, 'TAA'), (170, 173, 'TAA'), (188, 191, 'TGA'), (194, 197, 'TGA'), (202, 205, 'TAA'), (209, 212, 'TAA'), (221, 224, 'TAA'), (226, 229, 'TGA'), (251, 254, 'TGA'), (260, 263, 'TGA'), (277, 280, 'TGA'), (286, 289, 'TAA'), (333, 336, 'TGA')]
55;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA')]
56;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (278, 281, 'TAG')]
57;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (283, 286, 'TAG'), (300, 303, 'TAA'), (330, 333, 'TAA')]
58;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (160, 163, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA'), (280, 283, 'TGA'), (283, 286, 'TAA'), (324, 327, 'TAA')]
59;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (300, 303, 'TGA'), (332, 335, 'TAA')]
60;[(10, 13, 'TGA'), (31, 34, 'TGA'), (77, 80, 'TGA'), (80, 83, 'TAG'), (107, 110, 'TAG'), (185, 188, 'TAA'), (200, 203, 'TAA'), (215, 218, 'TAG'), (248, 251, 'TGA'), (274, 277, 'TGA'), (283, 286, 'TGA'), (290, 293, 'TGA')]
61;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (329, 332, 'TAA'), (341, 344, 'TAA')]
62;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TAA'), (293, 296, 'TGA'), (301, 304, 'TAA')]
63;[(55, 58, 'TGA'), (61, 64, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (89, 92, 'TGA'), (133, 136, 'TGA'), (161, 164, 'TAA'), (196, 199, 'TGA'), (281, 284, 'TAG'), (288, 291, 'TAG'), (293, 296, 'TAA'), (338, 341, 'TGA')]
64;[(55, 58, 'TGA'), (61, 64, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (89, 92, 'TGA'), (133, 136, 'TGA'), (161, 164, 'TAA'), (196, 199, 'TGA'), (281, 284, 'TAG'), (314, 317, 'TGA'), (346, 349, 'TAA')]
65;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (272, 275, 'TGA'), (277, 280, 'TGA'), (294, 297, 'TGA')]
66;[(31, 34, 'TGA'), (77, 80, 'TGA'), (85, 88, 'TGA'), (175, 178, 'TAA'), (274, 277, 'TAG'), (311, 314, 'TAA'), (323, 326, 'TAA')]
67;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (272, 275, 'TGA'), (285, 288, 'TGA'), (335, 338, 'TGA')]
68;[(10, 13, 'TGA'), (41, 44, 'TAA'), (61, 64, 'TGA'), (92, 95, 'TGA'), (142, 145, 'TGA'), (155, 158, 'TAG'), (182, 185, 'TGA'), (188, 191, 'TAA'), (214, 217, 'TGA'), (269, 272, 'TAG')]
69;[(31, 34, 'TAA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TAA')]
70;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TAG'), (284, 287, 'TAG'), (317, 320, 'TAA'), (322, 325, 'TGA')]
71;[(10, 13, 'TGA'), (31, 34, 'TGA'), (34, 37, 'TAG'), (61, 64, 'TAA'), (74, 77, 'TGA'), (89, 92, 'TGA'), (139, 142, 'TGA'), (142, 145, 'TAG'), (160, 163, 'TGA'), (164, 167, 'TGA'), (200, 203, 'TAA'), (325, 328, 'TGA')]
72;[(11, 14, 'TAA'), (31, 34, 'TGA'), (61, 64, 'TGA'), (68, 71, 'TGA'), (77, 80, 'TAA'), (89, 92, 'TGA'), (122, 125, 'TGA'), (139, 142, 'TGA'), (148, 151, 'TAA'), (158, 161, 'TAA'), (164, 167, 'TAA'), (170, 173, 'TGA'), (196, 199, 'TAA'), (297, 300, 'TGA'), (321, 324, 'TGA')]
73;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA'), (326, 329, 'TAA')]
74;[(28, 31, 'TGA'), (58, 61, 'TAA'), (104, 107, 'TAA'), (136, 139, 'TGA'), (163, 166, 'TGA'), (193, 196, 'TGA'), (197, 200, 'TAA'), (206, 209, 'TAA'), (299, 302, 'TAA')]
75;[(11, 14, 'TGA'), (23, 26, 'TGA'), (28, 31, 'TGA'), (191, 194, 'TAG'), (200, 203, 'TAA'), (223, 226, 'TGA'), (238, 241, 'TGA'), (278, 281, 'TGA')]
76;[(10, 13, 'TAA'), (85, 88, 'TAA'), (104, 107, 'TAA'), (136, 139, 'TGA'), (145, 148, 'TAG'), (148, 151, 'TGA'), (163, 166, 'TGA'), (181, 184, 'TGA'), (250, 253, 'TAG')]
77;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA'), (321, 324, 'TGA')]
78;[(5, 8, 'TAA'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (290, 293, 'TGA'), (322, 325, 'TAA')]
79;[(131, 134, 'TAA'), (139, 142, 'TGA'), (161, 164, 'TAA'), (164, 167, 'TGA'), (194, 197, 'TAG'), (242, 245, 'TGA'), (269, 272, 'TAA'), (274, 277, 'TGA'), (305, 308, 'TAA')]
80;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TGA'), (291, 294, 'TAG'), (305, 308, 'TAA'), (329, 332, 'TAA'), (335, 338, 'TAA')]
81;[(5, 8, 'TAA'), (38, 41, 'TGA'), (65, 68, 'TAA'), (89, 92, 'TGA'), (151, 154, 'TAA'), (161, 164, 'TGA'), (170, 173, 'TGA'), (184, 187, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (279, 282, 'TAG'), (293, 296, 'TGA'), (317, 320, 'TGA')]
82;[(31, 34, 'TGA'), (47, 50, 'TGA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (289, 292, 'TAG'), (303, 306, 'TGA'), (327, 330, 'TGA')]
83;[(55, 58, 'TGA'), (61, 64, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (89, 92, 'TGA'), (133, 136, 'TGA'), (161, 164, 'TAA'), (196, 199, 'TGA'), (232, 235, 'TGA'), (281, 284, 'TAG'), (334, 337, 'TAA'), (346, 349, 'TAA')]
84;[(5, 8, 'TAA'), (28, 31, 'TAG'), (38, 41, 'TGA'), (52, 55, 'TGA'), (58, 61, 'TAA'), (65, 68, 'TAG'), (89, 92, 'TGA'), (217, 220, 'TGA'), (238, 241, 'TGA'), (272, 275, 'TAG')]
85;[(31, 34, 'TGA'), (107, 110, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (245, 248, 'TGA'), (292, 295, 'TAA'), (324, 327, 'TGA')]
86;[(11, 14, 'TGA'), (23, 26, 'TGA'), (28, 31, 'TGA'), (191, 194, 'TAG'), (200, 203, 'TAA'), (223, 226, 'TGA'), (238, 241, 'TGA'), (268, 271, 'TGA'), (319, 322, 'TAA')]
87;[(31, 34, 'TAA'), (139, 142, 'TGA'), (145, 148, 'TAG'), (163, 166, 'TGA'), (172, 175, 'TGA'), (181, 184, 'TAA'), (197, 200, 'TGA'), (245, 248, 'TGA'), (280, 283, 'TAA'), (325, 328, 'TGA')]
88;[(10, 13, 'TGA'), (20, 23, 'TAA'), (31, 34, 'TAA'), (41, 44, 'TGA'), (92, 95, 'TAA'), (170, 173, 'TAA'), (188, 191, 'TGA'), (194, 197, 'TGA'), (202, 205, 'TAA'), (209, 212, 'TAA'), (221, 224, 'TAA'), (226, 229, 'TGA'), (251, 254, 'TGA'), (260, 263, 'TGA')]
89;[(31, 34, 'TGA'), (47, 50, 'TGA'), (132, 135, 'TAA'), (142, 145, 'TAG'), (196, 199, 'TGA'), (200, 203, 'TAA'), (208, 211, 'TGA'), (286, 289, 'TAG'), (300, 303, 'TGA'), (324, 327, 'TGA')]
90;[(31, 34, 'TAG'), (139, 142, 'TGA'), (145, 148, 'TAG'), (163, 166, 'TGA'), (172, 175, 'TGA'), (181, 184, 'TAA'), (197, 200, 'TGA'), (245, 248, 'TGA'), (269, 272, 'TAG'), (283, 286, 'TAA'), (307, 310, 'TAA'), (313, 316, 'TAA')]
91;[(55, 58, 'TGA'), (61, 64, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (89, 92, 'TGA'), (133, 136, 'TGA'), (161, 164, 'TAA'), (196, 199, 'TGA'), (325, 328, 'TGA')]
92;[(31, 34, 'TGA'), (61, 64, 'TAA'), (104, 107, 'TAA'), (119, 122, 'TGA'), (136, 139, 'TGA'), (139, 142, 'TGA'), (173, 176, 'TGA'), (181, 184, 'TAA'), (197, 200, 'TGA'), (292, 295, 'TAG'), (295, 298, 'TAA'), (300, 303, 'TGA'), (318, 321, 'TAA'), (324, 327, 'TGA'), (331, 334, 'TAG')]
93;[(4, 7, 'TGA'), (145, 148, 'TAA'), (148, 151, 'TGA'), (154, 157, 'TAA'), (164, 167, 'TGA'), (184, 187, 'TAA'), (197, 200, 'TAA'), (245, 248, 'TGA'), (324, 327, 'TAA')]
94;[(10, 13, 'TAA'), (26, 29, 'TGA'), (55, 58, 'TGA'), (74, 77, 'TGA'), (83, 86, 'TGA'), (161, 164, 'TGA'), (164, 167, 'TGA'), (173, 176, 'TGA'), (178, 181, 'TAA'), (280, 283, 'TGA'), (284, 287, 'TGA'), (333, 336, 'TGA')]
95;[(10, 13, 'TGA'), (61, 64, 'TGA'), (86, 89, 'TAA'), (136, 139, 'TGA'), (139, 142, 'TAG'), (149, 152, 'TAA'), (158, 161, 'TGA'), (163, 166, 'TGA'), (181, 184, 'TGA'), (199, 202, 'TAA'), (220, 223, 'TGA'), (242, 245, 'TAG'), (245, 248, 'TGA'), (250, 253, 'TAG'), (280, 283, 'TAG'), (284, 287, 'TGA'), (316, 319, 'TAA')]
